Epoch: [0][0/938]	Time 18.519 (18.519)	Data 7.603 (7.603)	Loss 11.0931 (11.0931)	
Epoch: [0][10/938]	Time 0.529 (2.188)	Data 0.001 (0.718)	Loss 15.1572 (14.2220)	
Epoch: [0][20/938]	Time 0.524 (1.403)	Data 0.012 (0.385)	Loss 15.9713 (14.8362)	
Epoch: [0][30/938]	Time 0.432 (1.131)	Data 0.011 (0.268)	Loss 16.3569 (15.2168)	
Epoch: [0][40/938]	Time 0.646 (1.009)	Data 0.060 (0.210)	Loss 16.7396 (15.5366)	
Epoch: [0][50/938]	Time 1.174 (0.911)	Data 0.008 (0.171)	Loss 16.8648 (15.7533)	
Epoch: [0][60/938]	Time 0.543 (0.973)	Data 0.108 (0.233)	Loss 17.2080 (15.9286)	
Epoch: [0][70/938]	Time 0.395 (0.917)	Data 0.004 (0.203)	Loss 17.1783 (16.1028)	
Epoch: [0][80/938]	Time 0.385 (0.909)	Data 0.004 (0.222)	Loss 16.9955 (16.2331)	
Epoch: [0][90/938]	Time 0.468 (0.870)	Data 0.010 (0.200)	Loss 17.0844 (16.3426)	
Epoch: [0][100/938]	Time 0.513 (0.834)	Data 0.063 (0.183)	Loss 17.0093 (16.4395)	
Epoch: [0][110/938]	Time 0.485 (0.809)	Data 0.065 (0.168)	Loss 17.3607 (16.5248)	
Epoch: [0][120/938]	Time 0.499 (0.780)	Data 0.003 (0.155)	Loss 17.3559 (16.5906)	
Epoch: [0][130/938]	Time 1.010 (0.765)	Data 0.018 (0.145)	Loss 17.1565 (16.6610)	
Epoch: [0][140/938]	Time 0.410 (0.753)	Data 0.019 (0.138)	Loss 17.8018 (16.7351)	
Epoch: [0][150/938]	Time 0.372 (0.730)	Data 0.001 (0.129)	Loss 17.4311 (16.7928)	
Epoch: [0][160/938]	Time 0.393 (0.712)	Data 0.053 (0.122)	Loss 17.1236 (16.8430)	
Epoch: [0][170/938]	Time 0.355 (0.700)	Data 0.005 (0.116)	Loss 17.1221 (16.8902)	
Epoch: [0][180/938]	Time 0.386 (0.690)	Data 0.003 (0.111)	Loss 17.9203 (16.9383)	
Epoch: [0][190/938]	Time 0.408 (0.679)	Data 0.009 (0.106)	Loss 17.8741 (16.9894)	
Epoch: [0][200/938]	Time 0.445 (0.698)	Data 0.048 (0.126)	Loss 17.9363 (17.0377)	
Epoch: [0][210/938]	Time 1.210 (0.689)	Data 0.006 (0.121)	Loss 18.0949 (17.0833)	
Epoch: [0][220/938]	Time 0.384 (0.683)	Data 0.008 (0.117)	Loss 17.7724 (17.1278)	
Epoch: [0][230/938]	Time 0.412 (0.677)	Data 0.032 (0.113)	Loss 18.1574 (17.1723)	
Epoch: [0][240/938]	Time 0.352 (0.666)	Data 0.012 (0.109)	Loss 17.8263 (17.2105)	
Epoch: [0][250/938]	Time 0.412 (0.657)	Data 0.007 (0.105)	Loss 17.8618 (17.2501)	
Epoch: [0][260/938]	Time 0.409 (0.679)	Data 0.018 (0.129)	Loss 18.4178 (17.2856)	
Epoch: [0][270/938]	Time 0.353 (0.673)	Data 0.010 (0.126)	Loss 17.8043 (17.3222)	
Epoch: [0][280/938]	Time 0.402 (0.666)	Data 0.047 (0.123)	Loss 17.9435 (17.3515)	
Epoch: [0][290/938]	Time 0.489 (0.665)	Data 0.050 (0.120)	Loss 18.0697 (17.3846)	
Epoch: [0][300/938]	Time 0.390 (0.659)	Data 0.003 (0.117)	Loss 18.5740 (17.4135)	
Epoch: [0][310/938]	Time 0.441 (0.658)	Data 0.013 (0.119)	Loss 18.5976 (17.4438)	
Epoch: [0][320/938]	Time 0.475 (0.665)	Data 0.010 (0.125)	Loss 18.5506 (17.4760)	
Epoch: [0][330/938]	Time 0.538 (0.658)	Data 0.006 (0.122)	Loss 18.0617 (17.5008)	
Epoch: [0][340/938]	Time 0.421 (0.675)	Data 0.001 (0.136)	Loss 18.3914 (17.5277)	
Epoch: [0][350/938]	Time 0.445 (0.668)	Data 0.014 (0.132)	Loss 18.7180 (17.5563)	
Epoch: [0][360/938]	Time 0.719 (0.662)	Data 0.029 (0.129)	Loss 18.5066 (17.5818)	
Epoch: [0][370/938]	Time 0.518 (0.658)	Data 0.080 (0.126)	Loss 18.6077 (17.6063)	
Epoch: [0][380/938]	Time 0.397 (0.656)	Data 0.008 (0.124)	Loss 18.4589 (17.6314)	
Epoch: [0][390/938]	Time 0.676 (0.652)	Data 0.003 (0.121)	Loss 18.6401 (17.6579)	
Epoch: [0][400/938]	Time 0.434 (0.650)	Data 0.005 (0.119)	Loss 18.8747 (17.6816)	
Epoch: [0][410/938]	Time 0.447 (0.646)	Data 0.013 (0.116)	Loss 18.4996 (17.7047)	
Epoch: [0][420/938]	Time 0.388 (0.658)	Data 0.030 (0.125)	Loss 18.6761 (17.7264)	
Epoch: [0][430/938]	Time 0.893 (0.655)	Data 0.012 (0.122)	Loss 18.9523 (17.7488)	
Epoch: [0][440/938]	Time 0.341 (0.651)	Data 0.005 (0.120)	Loss 19.0152 (17.7731)	
Epoch: [0][450/938]	Time 1.225 (0.662)	Data 0.100 (0.130)	Loss 18.7992 (17.7935)	
Epoch: [0][460/938]	Time 0.502 (0.668)	Data 0.005 (0.134)	Loss 19.0691 (17.8178)	
Epoch: [0][470/938]	Time 0.460 (0.663)	Data 0.013 (0.131)	Loss 19.0163 (17.8418)	
