Epoch: [0][0/118]	Time 13.039 (13.039)	Data 0.636 (0.636)	Loss 11.2027 (11.2027)	
Epoch: [0][10/118]	Time 1.221 (3.665)	Data 0.109 (1.034)	Loss 16.9164 (15.5214)	
Epoch: [0][20/118]	Time 9.571 (3.902)	Data 4.859 (1.053)	Loss 17.8387 (16.4564)	
Epoch: [0][30/118]	Time 3.147 (3.482)	Data 0.146 (0.870)	Loss 18.1223 (16.9642)	
Epoch: [0][40/118]	Time 3.918 (3.344)	Data 0.512 (0.781)	Loss 18.4836 (17.3066)	
Epoch: [0][50/118]	Time 2.853 (3.260)	Data 0.120 (0.744)	Loss 18.7707 (17.5732)	
Epoch: [0][60/118]	Time 4.853 (3.429)	Data 0.454 (0.845)	Loss 18.8446 (17.7829)	
Epoch: [0][70/118]	Time 2.326 (3.348)	Data 0.127 (0.807)	Loss 19.1780 (17.9520)	
Epoch: [0][80/118]	Time 2.603 (3.307)	Data 1.344 (0.786)	Loss 19.3509 (18.1095)	
Epoch: [0][90/118]	Time 3.161 (3.218)	Data 0.166 (0.747)	Loss 19.3725 (18.2450)	
Epoch: [0][100/118]	Time 0.784 (3.098)	Data 0.179 (0.717)	Loss 19.3783 (18.3557)	
Epoch: [0][110/118]	Time 2.490 (3.137)	Data 0.550 (0.751)	Loss 19.4118 (18.4552)	
Test [256/5000]	Net Time 3.030 (3.030)	Cls Time 0.002 (0.002)	Top1: 28.00
Test [512/5000]	Net Time 1.520 (2.275)	Cls Time 0.001 (0.001)	Top1: 42.00
Test [768/5000]	Net Time 1.001 (1.850)	Cls Time 0.001 (0.001)	Top1: 35.00
Test [1024/5000]	Net Time 2.157 (1.927)	Cls Time 0.001 (0.001)	Top1: 43.00
Test [1280/5000]	Net Time 12.128 (3.967)	Cls Time 0.001 (0.001)	Top1: 45.00
Test [1536/5000]	Net Time 2.316 (3.692)	Cls Time 0.001 (0.001)	Top1: 48.00
Test [1792/5000]	Net Time 1.249 (3.343)	Cls Time 0.001 (0.001)	Top1: 43.00
Test [2048/5000]	Net Time 1.087 (3.061)	Cls Time 0.001 (0.001)	Top1: 50.00
Test [2304/5000]	Net Time 1.620 (2.901)	Cls Time 0.001 (0.001)	Top1: 50.00
Test [2560/5000]	Net Time 1.177 (2.728)	Cls Time 0.001 (0.001)	Top1: 51.00
Test [2816/5000]	Net Time 1.290 (2.598)	Cls Time 0.001 (0.001)	Top1: 51.00
Test [3072/5000]	Net Time 0.675 (2.437)	Cls Time 0.001 (0.001)	Top1: 54.00
Test [3328/5000]	Net Time 1.374 (2.356)	Cls Time 0.001 (0.001)	Top1: 56.00
Test [3584/5000]	Net Time 0.921 (2.253)	Cls Time 0.001 (0.001)	Top1: 52.00
Test [3840/5000]	Net Time 1.649 (2.213)	Cls Time 0.001 (0.001)	Top1: 51.00
Test [4096/5000]	Net Time 1.573 (2.173)	Cls Time 0.001 (0.001)	Top1: 50.00
Test [4352/5000]	Net Time 4.937 (2.335)	Cls Time 0.001 (0.001)	Top1: 49.00
Test [4608/5000]	Net Time 1.978 (2.316)	Cls Time 0.001 (0.001)	Top1: 51.00
Test [4864/5000]	Net Time 5.107 (2.463)	Cls Time 0.001 (0.001)	Top1: 51.00
Test [5000/5000]	Net Time 4.019 (2.540)	Cls Time 0.001 (0.001)	Top1: 50.00
Epoch: [1][0/118]	Time 24.564 (24.564)	Data 19.751 (19.751)	Loss 10.3226 (10.3226)	
Epoch: [1][10/118]	Time 1.275 (4.115)	Data 0.001 (2.191)	Loss 10.9691 (11.7470)	
Epoch: [1][20/118]	Time 1.003 (3.234)	Data 0.106 (1.329)	Loss 17.4765 (12.0736)	
Epoch: [1][30/118]	Time 5.119 (2.788)	Data 0.420 (0.982)	Loss 12.7768 (12.5090)	
Epoch: [1][40/118]	Time 3.822 (3.068)	Data 0.111 (1.019)	Loss 12.8714 (12.5665)	
Epoch: [1][50/118]	Time 1.671 (3.053)	Data 0.565 (0.986)	Loss 12.4279 (12.6086)	
Epoch: [1][60/118]	Time 2.068 (3.161)	Data 0.192 (0.975)	Loss 12.7038 (12.8393)	
Epoch: [1][70/118]	Time 0.920 (3.099)	Data 0.146 (0.916)	Loss 13.6015 (13.0269)	
Epoch: [1][80/118]	Time 2.222 (3.087)	Data 0.102 (0.878)	Loss 13.2740 (13.1581)	
Epoch: [1][90/118]	Time 2.730 (3.054)	Data 1.405 (0.848)	Loss 13.5806 (13.2059)	
Epoch: [1][100/118]	Time 3.070 (3.034)	Data 0.274 (0.820)	Loss 13.3687 (13.3130)	
Epoch: [1][110/118]	Time 2.674 (2.982)	Data 0.751 (0.793)	Loss 13.4522 (13.3669)	
Test [256/5000]	Net Time 4.913 (4.913)	Cls Time 0.002 (0.002)	Top1: 28.00
Test [512/5000]	Net Time 1.042 (2.977)	Cls Time 0.001 (0.001)	Top1: 52.00
Test [768/5000]	Net Time 1.522 (2.492)	Cls Time 0.001 (0.001)	Top1: 48.00
Test [1024/5000]	Net Time 13.832 (5.327)	Cls Time 0.001 (0.001)	Top1: 47.00
Test [1280/5000]	Net Time 2.037 (4.669)	Cls Time 0.001 (0.001)	Top1: 47.00
Test [1536/5000]	Net Time 1.546 (4.149)	Cls Time 0.000 (0.001)	Top1: 51.00
Test [1792/5000]	Net Time 4.910 (4.258)	Cls Time 0.001 (0.001)	Top1: 56.00
Test [2048/5000]	Net Time 1.707 (3.939)	Cls Time 0.001 (0.001)	Top1: 58.00
Test [2304/5000]	Net Time 1.072 (3.620)	Cls Time 0.000 (0.001)	Top1: 56.00
Test [2560/5000]	Net Time 0.989 (3.357)	Cls Time 0.000 (0.001)	Top1: 54.00
Test [2816/5000]	Net Time 4.872 (3.495)	Cls Time 0.001 (0.001)	Top1: 54.00
Test [3072/5000]	Net Time 2.341 (3.399)	Cls Time 0.001 (0.001)	Top1: 52.00
Test [3328/5000]	Net Time 1.586 (3.259)	Cls Time 0.002 (0.001)	Top1: 49.00
Test [3584/5000]	Net Time 0.932 (3.093)	Cls Time 0.001 (0.001)	Top1: 46.00
Test [3840/5000]	Net Time 0.819 (2.941)	Cls Time 0.001 (0.001)	Top1: 46.00
Test [4096/5000]	Net Time 1.325 (2.840)	Cls Time 0.001 (0.001)	Top1: 47.00
Test [4352/5000]	Net Time 0.868 (2.724)	Cls Time 0.001 (0.001)	Top1: 49.00
Test [4608/5000]	Net Time 0.970 (2.627)	Cls Time 0.001 (0.001)	Top1: 50.00
Test [4864/5000]	Net Time 1.478 (2.566)	Cls Time 0.001 (0.001)	Top1: 49.00
Test [5000/5000]	Net Time 1.177 (2.497)	Cls Time 0.001 (0.001)	Top1: 50.00
